transaction_id,customer_id,order_amount,product_category,payment_method,discount_percent,delivery_distance_km,customer_age,customer_account_age_days,previous_orders,previous_returns,return_rate,returns_last_30_days,refunds_last_90_days,chargebacks_last_90_days,days_to_return,delivery_to_return_days,coupon_usage_count,high_value_order,customer_risk_history,return_reason,location_risk_score,device_change_count,orders_last_30_days,previous_fraud_flag,target_return_abuse
TX100000,CUST000268,3492.51,Grocery,UPI,3.0,25.8,36,295,13,0,0.0,0,0,0,12.6,11.4,1,1,low,changed_mind_repeated,8.0,0,2,0,0
TX100001,CUST002322,4254.49,Electronics,Wallet,11.0,20.5,37,49,9,1,0.111,0,2,0,0.4,0.0,0,1,low,defective,8.9,0,2,1,0
TX100002,CUST001964,1065.64,Sports,Net Banking,8.3,3.4,25,17,13,1,0.077,0,0,0,,,2,0,medium,no_return,27.8,0,1,0,0
TX100003,CUST001317,3915.28,Fashion,Net Banking,0.0,0.6,38,484,13,0,0.0,0,0,0,,,1,1,low,no_return,39.0,0,2,0,0
TX100004,CUST001299,1494.43,Electronics,Net Banking,12.5,11.6,21,220,9,0,0.0,0,0,0,0.2,0.0,1,0,low,not_as_described_repeated,35.0,0,1,0,1
TX100005,CUST002575,2125.09,Grocery,Credit Card,20.4,0.6,34,132,8,1,0.125,0,2,0,,,1,0,low,no_return,41.5,0,6,0,0
TX100006,CUST000258,2404.86,Fashion,Credit Card,4.2,33.3,33,43,6,1,0.167,0,2,0,,,0,0,low,no_return,3.3,0,2,0,0
TX100007,CUST002092,3716.93,Footwear,COD,13.1,13.3,33,388,11,2,0.182,1,0,0,,,1,1,low,no_return,12.6,0,1,0,0
TX100008,CUST000605,2939.64,Sports,UPI,31.9,4.5,39,38,13,0,0.0,0,0,0,,,0,0,low,no_return,8.3,0,4,0,0
TX100009,CUST000283,1457.97,Fashion,COD,0.0,34.6,21,35,9,1,0.111,1,0,0,,,1,0,low,no_return,34.9,0,2,0,0
TX100010,CUST001579,336.7,Mobile,UPI,38.2,10.5,38,304,13,0,0.0,0,0,0,,,0,0,low,no_return,22.6,0,1,0,0
TX100011,CUST002926,2571.53,Sports,Net Banking,6.9,37.8,32,1112,5,0,0.0,0,1,0,3.6,3.4,1,0,low,changed_mind,11.6,0,0,0,0
TX100012,CUST002207,2067.05,Fashion,Debit Card,17.4,7.8,24,516,5,1,0.2,0,0,0,,,1,0,low,no_return,17.4,0,3,0,0
TX100013,CUST002283,702.79,Beauty,COD,30.3,7.6,18,41,4,0,0.0,0,0,0,,,0,0,low,no_return,29.7,2,2,0,0
TX100014,CUST002152,2232.84,Mobile,Credit Card,34.0,3.6,50,513,2,0,0.0,0,0,0,1.4,0.0,1,0,low,size_issue,32.9,0,1,1,0
TX100015,CUST002358,1865.07,Home,Debit Card,20.6,0.5,31,446,7,0,0.0,0,0,0,,,4,0,low,no_return,15.9,0,0,0,0
TX100016,CUST001540,4228.4,Home,Net Banking,6.7,10.7,28,105,3,0,0.0,0,0,0,,,3,1,low,no_return,29.2,0,0,0,0
TX100017,CUST000385,5770.37,Beauty,Credit Card,5.6,6.0,20,114,6,0,0.0,0,0,0,,,0,1,medium,no_return,32.1,0,3,0,0
TX100018,CUST002519,3437.71,Fashion,UPI,8.1,3.4,42,923,17,2,0.118,0,0,0,,,2,1,high,no_return,8.5,1,2,0,0
TX100019,CUST001351,1792.48,Fashion,UPI,37.7,18.5,42,271,7,0,0.0,0,0,0,,,0,0,low,no_return,28.7,0,1,0,0
TX100020,CUST001501,1980.78,Sports,Debit Card,10.4,19.5,40,232,4,0,0.0,0,0,0,12.1,7.2,0,0,low,not_needed,48.3,0,1,0,0
TX100021,CUST001113,1038.4,Footwear,Debit Card,18.9,15.6,31,123,9,1,0.111,0,0,0,8.6,8.6,1,0,low,not_as_described,22.1,0,2,0,0
TX100022,CUST000548,1185.93,Books,Debit Card,2.5,34.1,39,844,11,4,0.364,0,0,0,16.7,15.4,0,0,medium,size_issue,38.9,0,2,0,0
TX100023,CUST002780,1722.06,Electronics,UPI,1.1,9.6,23,278,12,2,0.167,1,1,0,2.3,0.8,1,0,low,size_issue,11.7,0,1,0,0
TX100024,CUST002344,1600.75,Home,UPI,15.3,6.4,34,528,9,0,0.0,0,0,0,3.9,0.0,2,0,low,changed_mind,49.5,1,1,0,0
TX100025,CUST001931,672.72,Electronics,Net Banking,11.1,6.7,31,26,7,1,0.143,0,0,0,,,1,0,low,no_return,35.9,0,2,0,0
TX100026,CUST001207,4255.97,Fashion,Debit Card,12.0,5.1,34,458,10,1,0.1,0,0,0,,,5,1,low,no_return,31.2,0,2,0,0
TX100027,CUST002468,4632.16,Grocery,UPI,0.0,8.5,18,410,11,0,0.0,0,0,0,6.8,6.5,1,1,low,defective,37.3,1,1,0,0
TX100028,CUST001636,4170.51,Fashion,UPI,14.1,3.4,50,558,6,1,0.167,0,1,0,,,3,1,low,no_return,31.9,0,5,0,0
TX100029,CUST001330,4730.79,Footwear,UPI,33.6,1.1,48,271,8,2,0.25,0,2,0,,,0,1,medium,no_return,26.6,0,2,0,0
TX100030,CUST001351,6816.21,Beauty,COD,4.8,29.4,20,371,7,2,0.286,1,2,0,23.0,22.4,1,1,low,defective,17.1,0,1,0,0
TX100031,CUST000682,1052.79,Grocery,COD,25.8,2.9,37,1370,9,1,0.111,0,0,1,,,3,0,high,no_return,15.7,2,0,0,0
TX100032,CUST000277,6635.43,Footwear,Debit Card,0.0,0.5,18,290,8,1,0.125,0,0,0,,,2,1,low,no_return,24.0,1,1,0,0
TX100033,CUST001664,1451.73,Grocery,Debit Card,5.4,2.7,32,1563,4,0,0.0,0,0,0,,,0,0,low,no_return,15.3,1,4,0,0
TX100034,CUST002663,2825.42,Footwear,Net Banking,0.0,8.7,18,473,2,1,0.5,1,1,0,,,2,0,low,no_return,7.5,1,1,1,1
TX100035,CUST000192,555.0,Toys,Credit Card,29.8,5.1,29,542,5,2,0.4,0,0,0,,,4,0,low,no_return,16.2,0,4,0,1
TX100036,CUST002575,1323.03,Sports,Credit Card,25.5,6.9,27,204,4,0,0.0,0,2,0,,,0,0,high,no_return,26.9,1,3,0,1
TX100037,CUST002483,3500.19,Fashion,Credit Card,2.6,0.7,43,153,4,0,0.0,0,0,0,7.1,0.0,0,1,low,size_issue,52.6,0,1,0,0
TX100038,CUST000831,2913.46,Fashion,Wallet,18.5,6.6,48,531,11,1,0.091,0,0,0,,,2,0,low,no_return,35.3,2,2,0,0
TX100039,CUST001895,1432.0,Footwear,Debit Card,29.4,9.7,48,672,15,1,0.067,0,0,0,0.9,0.0,3,0,low,changed_mind_repeated,35.7,2,0,0,1
TX100040,CUST000496,1980.18,Electronics,Debit Card,31.3,11.3,43,615,14,0,0.0,0,0,0,14.9,13.0,0,0,high,changed_mind_repeated,17.1,0,0,0,0
TX100041,CUST002274,1225.06,Mobile,COD,10.1,14.2,32,539,7,1,0.143,0,0,0,,,0,0,low,no_return,31.0,0,3,0,0
TX100042,CUST002101,3494.08,Fashion,UPI,0.0,6.7,35,270,7,0,0.0,0,0,0,,,1,1,medium,no_return,39.2,0,2,0,1
TX100043,CUST001064,4434.63,Books,Credit Card,4.2,11.4,35,66,10,0,0.0,0,0,0,6.6,1.4,2,1,low,not_as_described_repeated,37.5,1,3,0,1
TX100044,CUST000204,1056.26,Fashion,Debit Card,24.2,28.7,20,41,8,2,0.25,0,0,0,,,0,0,low,no_return,6.5,1,0,0,0
TX100045,CUST002912,1846.33,Mobile,Wallet,40.2,18.9,43,326,11,0,0.0,0,2,1,,,0,0,high,no_return,20.6,1,2,0,1
TX100046,CUST001337,652.16,Electronics,UPI,14.3,8.4,38,628,6,0,0.0,0,0,0,5.8,0.6,1,0,low,size_issue,34.1,1,3,0,0
TX100047,CUST002679,2188.48,Home,Credit Card,7.7,1.1,39,466,3,0,0.0,0,0,0,,,1,0,low,no_return,13.8,0,2,0,0
TX100048,CUST002034,2635.85,Footwear,Net Banking,43.8,3.9,18,116,10,0,0.0,0,0,0,,,2,0,low,no_return,36.2,0,0,0,0
TX100049,CUST002335,2308.51,Fashion,COD,19.9,38.5,36,401,9,0,0.0,0,0,0,,,0,0,low,no_return,19.8,1,2,0,0
TX100050,CUST002279,2502.52,Fashion,Debit Card,0.3,7.5,42,375,13,2,0.154,0,0,0,,,0,0,medium,no_return,6.7,1,0,0,0
TX100051,CUST000584,1714.83,Footwear,UPI,13.6,3.6,31,2042,11,0,0.0,0,0,0,,,1,0,low,no_return,15.1,2,0,0,0
TX100052,CUST001092,1743.01,Toys,UPI,27.0,1.5,26,60,6,1,0.167,1,1,0,6.4,5.6,2,0,low,not_as_described,0.9,1,1,0,0
TX100053,CUST001400,1687.85,Electronics,Credit Card,14.2,8.5,18,184,8,0,0.0,0,0,0,,,0,0,low,no_return,36.2,0,1,0,0
TX100054,CUST001493,1294.5,Sports,UPI,24.5,12.0,18,292,6,0,0.0,0,0,0,,,0,0,high,no_return,16.5,0,1,0,0
TX100055,CUST000132,1411.3,Fashion,COD,0.0,16.4,33,49,6,1,0.167,0,2,0,,,2,0,low,no_return,26.7,0,3,0,0
TX100056,CUST001640,2558.4,Fashion,COD,0.0,7.4,29,1218,12,1,0.083,1,0,0,,,2,0,low,no_return,29.7,0,3,0,0
TX100057,CUST000463,4258.8,Grocery,COD,6.2,12.7,29,136,11,2,0.182,1,0,0,,,0,1,low,no_return,15.5,1,1,0,1
TX100058,CUST002230,923.17,Electronics,UPI,11.6,4.4,47,790,8,1,0.125,1,0,0,1.4,0.0,2,0,medium,changed_mind,38.8,0,1,0,0
TX100059,CUST002049,1738.54,Beauty,Credit Card,19.0,2.5,19,59,10,0,0.0,0,0,0,,,2,0,medium,no_return,25.8,1,2,0,0
TX100060,CUST002767,783.02,Fashion,COD,22.6,10.5,28,757,7,0,0.0,0,0,0,,,2,0,high,no_return,10.0,1,2,0,0
TX100061,CUST002234,1311.46,Footwear,UPI,44.6,3.6,48,790,8,0,0.0,0,0,0,,,3,0,low,no_return,32.1,0,2,0,0
TX100062,CUST001100,1470.84,Sports,UPI,6.1,3.2,28,115,13,1,0.077,0,0,0,2.2,0.1,2,0,low,not_needed,30.8,0,1,0,0
TX100063,CUST002902,2087.09,Fashion,Credit Card,11.2,5.5,32,505,8,0,0.0,0,1,1,,,0,0,low,no_return,26.4,1,2,0,0
TX100064,CUST001233,2048.51,Footwear,UPI,6.5,20.3,30,86,8,1,0.125,0,0,0,,,4,0,low,no_return,4.4,1,1,0,0
TX100065,CUST000978,1835.09,Toys,UPI,28.0,1.5,39,474,7,2,0.286,0,2,0,,,2,0,low,no_return,41.3,2,3,0,0
TX100066,CUST002716,2424.05,Fashion,Credit Card,28.6,11.1,18,697,5,1,0.2,1,1,0,,,1,0,low,no_return,25.8,0,0,0,0
TX100067,CUST001112,990.2,Mobile,Net Banking,9.6,11.4,29,18,4,1,0.25,0,0,0,,,1,0,low,no_return,35.7,0,0,0,0
TX100068,CUST000229,2098.62,Fashion,UPI,39.8,5.6,32,512,12,0,0.0,0,2,0,6.3,1.5,2,0,low,not_needed,43.8,2,0,0,0
TX100069,CUST001409,2967.04,Fashion,Debit Card,6.5,11.1,22,353,7,1,0.143,0,1,0,,,1,0,low,no_return,19.8,0,1,0,0
TX100070,CUST002387,981.05,Home,Debit Card,27.4,5.4,35,1331,11,0,0.0,0,0,0,15.7,13.9,2,0,low,not_needed,13.6,0,0,0,0
